task,head,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,240m,2,test,240.0,480.0,1862,3448,0.7334686774941995,0.6468044995928147,0.6404349906350425,0.8671908380016339,0.7395273899033298,0.6564497886934104,0.6539252428790515,0.8793062214516657,0.7185821697099892,0.6790111493509379,0.6509521173537142,0.8793062214516657,,,,
age_class,lstm,240m,3,test,240.0,720.0,1862,3564,0.7410213243546577,0.6490991281677797,0.6426212006362342,0.8725425365995411,0.7400644468313641,0.6567495488852569,0.6542757587010571,0.8798222406002721,0.719656283566058,0.679610669734631,0.651664754422952,0.8798222406002721,,,,
age_class,lstm,240m,4,test,240.0,960.0,1862,3566,0.7411665731912507,0.6491563088138713,0.6426690692439389,0.872640819599806,0.7400644468313641,0.6567495488852569,0.6542757587010571,0.8798222406002721,0.719656283566058,0.679610669734631,0.651664754422952,0.8798222406002721,,,,
age_class,lstm,240m,all,test,240.0,,1862,3566,0.7411665731912507,0.6491563088138713,0.6426690692439389,0.872640819599806,0.7400644468313641,0.6567495488852569,0.6542757587010571,0.8798222406002721,0.719656283566058,0.679610669734631,0.651664754422952,0.8798222406002721,,,,
age_class,transformer,30s,1,test,0.5,0.5,1862,1862,0.6305048335123523,0.5689445012281183,0.5426194222989138,0.7991651534382908,0.6305048335123523,0.5689445012281183,0.5426194222989138,0.7991651534382908,0.6305048335123523,0.5689445012281183,0.5426194222989138,0.7991651534382908,,,,
age_class,transformer,30s,10,test,0.5,5.0,1862,18620,0.6251879699248121,0.6162133779592661,0.5590769370307839,0.8154562732877254,0.6761546723952739,0.6728335245324675,0.6171691788884881,0.8492718117284307,0.6557465091299678,0.6729071787182471,0.6016326138475553,0.8492718117284307,,,,
age_class,transformer,30s,100,test,0.5,50.0,1862,186070,0.6291718170580964,0.6216382185523224,0.5610791761682631,0.8188122166608091,0.6874328678839957,0.6812033557779721,0.6248067470292923,0.8539623243720146,0.6852846401718582,0.6898682838218102,0.6259918553941498,0.8539623243720146,,,,
age_class,transformer,30s,12,test,0.5,6.0,1862,22344,0.6289831722162549,0.6187526243018397,0.561259545585148,0.8170417854096191,0.6804511278195489,0.6731206661301021,0.6189882731918483,0.850985264278655,0.6638023630504833,0.6758751543720413,0.6073032070554745,0.850985264278655,,,,
age_class,transformer,30s,120,test,0.5,60.0,1862,223270,0.628987324763739,0.6219635629328534,0.5612552811401951,0.8191729150603569,0.6842105263157895,0.6793687219064831,0.6232969883305071,0.8542051380294772,0.6766917293233082,0.6815048990320441,0.6180330691744941,0.8542051380294772,,,,
age_class,transformer,30s,16,test,0.5,8.0,1862,29792,0.6271817937701396,0.6183231220445743,0.5598063576051683,0.8174309336753627,0.6793770139634802,0.6767790983410937,0.6196141443113931,0.8519455201809835,0.6659505907626209,0.6726332043493551,0.6076271798645209,0.8519455201809835,,,,
age_class,transformer,30s,160,test,0.5,80.0,1862,297670,0.6292471528874257,0.6212168360809093,0.5612885773135704,0.8189419986947115,0.6842105263157895,0.6779124401233988,0.6222526095231697,0.8542980294085272,0.6842105263157895,0.6937097542281893,0.6278592375164532,0.8542980294085272,,,,
age_class,transformer,30s,2,test,0.5,1.0,1862,3724,0.6039205155746509,0.5758383684267411,0.5342725015465297,0.7911043409089774,0.6450053705692803,0.6038309366233849,0.5715070188700371,0.81791437639185,0.5488721804511278,0.6009499881220625,0.5113075057725457,0.81791437639185,,,,
