task,head,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,10m,1,test,10.0,10.0,1859,1859,0.6406670252824099,0.6089643109370194,0.572513464413934,0.8143056683229298,0.6406670252824099,0.6089643109370194,0.572513464413934,0.8143056683229298,0.6406670252824099,0.6089643109370194,0.572513464413934,0.8143056683229298,0.7990707470723178,0.828229159411762,0.580759166624318,0.6360532632617476
age_class,lstm,10m,10,test,10.0,100.0,1862,18603,0.6537117669193141,0.6145674456844171,0.5767145672801556,0.8250495382066815,0.7040816326530612,0.6698581423125055,0.6330849810742925,0.8672501819834076,0.6879699248120301,0.6690178399490428,0.6221066560074442,0.8672501819834076,,,,
age_class,lstm,10m,10,test,10.0,100.0,1859,18590,0.658364712210866,0.6224147643866073,0.5865662771251424,0.8260455295688497,0.7025282409897795,0.6675815608413166,0.6350178626196175,0.8645271668900544,0.692845615922539,0.6797332625702716,0.6340537853735194,0.8645271668900544,0.852203855755848,0.8759059233329551,0.6373387565253319,0.6929213137886592
age_class,lstm,10m,100,test,10.0,1000.0,1862,103524,0.67472276959932,0.6231143944240524,0.5834126443779031,0.8380609803329345,0.709452201933405,0.6773688804618625,0.6410637630374262,0.8720758101591345,0.709452201933405,0.6787890895245369,0.6411708415026215,0.8720758101591345,,,,
age_class,lstm,10m,100,test,10.0,1000.0,1859,103508,0.6768172508405147,0.6296357681109198,0.5910460181453555,0.8396050974828494,0.7132867132867133,0.6764893282444153,0.6462394936532868,0.8698044047871796,0.7009144701452393,0.6690123311187115,0.6358018970326683,0.8698044047871796,0.8579067476449919,0.8810989214042764,0.6472347845718953,0.7025775363413513
age_class,lstm,10m,12,test,10.0,120.0,1862,22323,0.6566321730950141,0.6163811084277299,0.5791798988285944,0.826822748188146,0.7116004296455424,0.6797690193761258,0.6410838009989512,0.8694435644247839,0.7013963480128894,0.6830277027520056,0.6366095222309065,0.8694435644247839,,,,
age_class,lstm,10m,12,test,10.0,120.0,1859,22308,0.6598081405773714,0.6252246458849662,0.5880871160058575,0.8293028433327363,0.7003765465303927,0.6710131720225494,0.6341377533218736,0.8689256831117818,0.6971490048413125,0.6806750623219596,0.6357103850373876,0.8689256831117818,0.8571659304850621,0.8803769133488505,0.641659451428593,0.6983033048715706
age_class,lstm,10m,16,test,10.0,160.0,1862,29760,0.6563844086021505,0.6161817192869202,0.579463093206931,0.8274796287095484,0.7110633727175081,0.6800517718975129,0.640943846082186,0.8706768551303439,0.6981740064446831,0.6735121854472496,0.6297720911281179,0.8706768551303439,,,,
age_class,lstm,10m,16,test,10.0,160.0,1859,29744,0.6581159225389994,0.6215066684880209,0.5852057707065438,0.8270906352887537,0.708445400753093,0.6726919127411709,0.6403978499787264,0.865853469645787,0.6890801506186122,0.6679874795663991,0.6273445606254366,0.865853469645787,0.8534406315870191,0.8776020003082003,0.6448801438347688,0.6979415917125336
age_class,lstm,10m,2,test,10.0,20.0,1862,3723,0.6312113886650551,0.5970883469860001,0.5571717743423906,0.8111015991600868,0.6611170784103115,0.6363380126372479,0.592946949695562,0.8375712234254444,0.5784103114930182,0.6273007674848453,0.5345430088076611,0.8375712234254444,,,,
age_class,lstm,10m,2,test,10.0,20.0,1859,3718,0.6320602474448628,0.6029671205484165,0.5665999343519332,0.8083878521355511,0.6621839698762776,0.6235400239278407,0.5926416732555518,0.8313326580428825,0.5798816568047337,0.6276681131550985,0.5427714957675723,0.8313326580428825,0.8172372961228725,0.8441005161491109,0.5947374031205915,0.6515595738218014
age_class,lstm,10m,20,test,10.0,200.0,1862,37196,0.6572749758038499,0.6164094617390615,0.5792691527525569,0.8271375690979822,0.7078410311493019,0.6749772453828289,0.6373483581223213,0.8703972218802636,0.6987110633727175,0.6678425276251202,0.627818674444805,0.8703972218802636,,,,
age_class,lstm,10m,20,test,10.0,200.0,1859,37180,0.6594405594405595,0.6237772791881597,0.587371443088233,0.8288489201949334,0.7089833243679398,0.6796611193779541,0.6457222052747758,0.8685566494018988,0.6906939214631522,0.663447790773311,0.6267332808864313,0.8685566494018988,0.856413305701796,0.8796155077667605,0.6511398894527518,0.7074878409588676
age_class,lstm,10m,25,test,10.0,250.0,1862,46491,0.6585360607429395,0.6177199751296067,0.5805467093614437,0.8279425082730709,0.7132116004296455,0.6845267780285038,0.6471064345997327,0.8717367277619396,0.7073039742212675,0.6836316122119462,0.6408754492263583,0.8717367277619396,,,,
age_class,lstm,10m,25,test,10.0,250.0,1859,46475,0.6618827326519634,0.6247514733243053,0.5889685119606671,0.8297621617529627,0.708445400753093,0.6711047276584035,0.6395069839669798,0.8704862270828304,0.7036040882194728,0.6710936447911778,0.6363336727480781,0.8704862270828304,0.8585739578045964,0.8818180979695466,0.6432558045014148,0.6972847814870006
age_class,lstm,10m,3,test,10.0,30.0,1862,5583,0.646247537166398,0.6110382079615203,0.5710472698714929,0.8202119953743076,0.6868958109559613,0.6596084834260251,0.617465811458021,0.8553069201341991,0.6595059076262084,0.6379491465166919,0.5837846098304068,0.8553069201341991,,,,
age_class,lstm,10m,3,test,10.0,30.0,1859,5577,0.6481979558902636,0.6165251266025895,0.5800118333205969,0.8196774114498669,0.6906939214631522,0.661408996276993,0.6270383145259975,0.85093116732311,0.6681011296395912,0.6468457253729628,0.6010019133313905,0.85093116732311,0.8381545847484976,0.8638800078289306,0.6324922232245448,0.687478426469701
age_class,lstm,10m,30,test,10.0,300.0,1862,55778,0.6593280504858546,0.6197776385049691,0.5821231603761792,0.8282631181083971,0.7105263157894737,0.6794607553490494,0.6424867533805252,0.8731717041605318,0.7089151450053706,0.6838762346334325,0.6420336059497415,0.8731717041605318,,,,
