task,held_out_context,K,actual,predicted,error
bmi_binary,10m,100,0.7552652873764324,0.768784547406886,0.013519260030453562
bmi_binary,10m,12,0.7525601981453941,0.7572661356273593,0.004705937481965239
bmi_binary,10m,16,0.7545818388592423,0.7597001176833371,0.0051182788240947685
bmi_binary,10m,2,0.6781217194471175,0.7296105961659101,0.05148887671879254
bmi_binary,10m,20,0.7540774538535562,0.7613434364078837,0.0072659825543275325
bmi_binary,10m,25,0.7554689550345552,0.7627996391672544,0.007330684132699106
bmi_binary,10m,3,0.7181895722159042,0.7383905201014825,0.020200947885578358
bmi_binary,10m,30,0.754518961595661,0.7638654739154542,0.009346512319793221
bmi_binary,10m,4,0.7364772876388768,0.7435484671297277,0.0070711794908508985
bmi_binary,10m,40,0.7551860073484384,0.7653470967589725,0.010161089410534063
bmi_binary,10m,5,0.737319296212055,0.7470308884199413,0.0097115922078862
bmi_binary,10m,50,0.7551408997463039,0.7663474240027538,0.011206524256449857
bmi_binary,10m,6,0.7450819044703001,0.7495797680969614,0.004497863626661269
bmi_binary,10m,60,0.7553432005073921,0.767079590954871,0.011736390447478873
bmi_binary,10m,8,0.7480637903508005,0.7531229799890774,0.005059189638276895
bmi_binary,10m,80,0.7551969425247136,0.7680973803292165,0.012900437804502896
bmi_binary,40m,1,0.7137997823899921,0.7127863889621051,-0.0010133934278869772
bmi_binary,40m,10,0.7546829892397866,0.7664756689108689,0.011792679671082329
bmi_binary,40m,12,0.7549440665733531,0.7682806706159259,0.013336604042572753
bmi_binary,40m,16,0.7549727714110751,0.7707432862346134,0.015770514823538306
bmi_binary,40m,2,0.7222082494969819,0.7374912771707167,0.015283027673734795
bmi_binary,40m,20,0.7551053604234099,0.772371904378857,0.017266543955447133
bmi_binary,40m,25,0.7551053604234099,0.7737893978797153,0.018684037456305425
bmi_binary,40m,3,0.7400749606333654,0.7477069515174405,0.007631990884075068
bmi_binary,40m,4,0.7529101237861955,0.7535414457825087,0.0006313219963132166
bmi_binary,40m,5,0.7486276353774821,0.7574000111024347,0.008772375724952597
bmi_binary,40m,6,0.7508912168664159,0.7601783224347545,0.00928710556833856
bmi_binary,40m,8,0.7555646378269617,0.7639688523059334,0.008404214478971661
bmi_binary,80m,1,0.7206390517015133,0.7163684155340374,-0.004270636167475916
bmi_binary,80m,10,0.7686759141807366,0.7666597079004427,-0.002016206280293864
bmi_binary,80m,12,0.7687907335316246,0.7684611306775065,-0.000329602854118094
bmi_binary,80m,2,0.748989863091593,0.738957045729223,-0.010032817362369939
bmi_binary,80m,3,0.7573087984428308,0.748523662269669,-0.00878513617316179
bmi_binary,80m,4,0.7671982984865717,0.7540691343582023,-0.013129164128369397
bmi_binary,80m,5,0.7673951316595224,0.7577766686598071,-0.00961846299971536
bmi_binary,80m,6,0.7685952672557081,0.7604693257726198,-0.008125941483088317
bmi_binary,80m,8,0.768533756889161,0.7641793190288425,-0.004354437860318527
bmi_binary,120m,1,0.7298382687428921,0.7177204593506713,-0.012117809392220846
bmi_binary,120m,2,0.7535429971131135,0.7417185695599552,-0.011824427553158268
bmi_binary,120m,3,0.7628720693727583,0.7516782625951689,-0.01119380677758941
bmi_binary,120m,4,0.7641555856880413,0.7573794469147913,-0.006776138773250007
bmi_binary,120m,5,0.7653106136820926,0.7611561096324848,-0.004154504049607821
bmi_binary,120m,6,0.7655293172075933,0.7638790224962034,-0.001650294711389888
bmi_binary,120m,8,0.7655703241186249,0.7675995466386578,0.002029222520032903
bmi_binary,240m,1,0.7577940468900358,0.7156128323749962,-0.042181214515039644
bmi_binary,240m,2,0.7754967303822937,0.7427781950856476,-0.032718535296646145
bmi_binary,240m,3,0.7769019005336365,0.7536336887526929,-0.023268211780943626
bmi_binary,240m,4,0.7769060012247396,0.7597036115316395,-0.017202389693100173
