task,n_train_points,train_contexts,held_out_context,context_min,actual_auroc,predicted_auroc,error_auroc_points,abs_error_auroc_points,fit_succeeded
depression_extreme_binary,3,"30s,10m,40m",80m,80.0,0.7491869918699187,0.7481707330647781,-0.0010162588051405574,0.0010162588051405574,True
depression_extreme_binary,3,"30s,10m,40m",120m,120.0,0.7540650406504065,0.7481707330647978,-0.005894307585608716,0.005894307585608716,True
depression_extreme_binary,3,"30s,10m,40m",240m,240.0,0.7455284552845529,0.7481707330648315,0.00264227778027859,0.00264227778027859,True
depression_extreme_binary,2,"30s,10m",40m,40.0,0.7497967479674796,0.7473578484095479,-0.0024388995579317507,0.0024388995579317507,True
depression_extreme_binary,2,"30s,10m",80m,80.0,0.7491869918699187,0.7473578784390835,-0.0018291134308351387,0.0018291134308351387,True
depression_extreme_binary,2,"30s,10m",120m,120.0,0.7540650406504065,0.7473578959881444,-0.006707144662262077,0.006707144662262077,True
depression_extreme_binary,2,"30s,10m",240m,240.0,0.7455284552845529,0.7473579259592752,0.0018294706747222778,0.0018294706747222778,True
osa_binary_apples_postqc,4,"30s,10m,40m,80m",120m,120.0,0.855788096795291,0.8738852753082331,0.018097178512942125,0.018097178512942125,True
osa_binary_apples_postqc,4,"30s,10m,40m,80m",240m,240.0,0.8613472858077175,0.8850419226154258,0.023694636807708336,0.023694636807708336,True
osa_binary_apples_postqc,3,"30s,10m,40m",80m,80.0,0.8878351863963374,0.8478861817346399,-0.039949004661697485,0.039949004661697485,True
osa_binary_apples_postqc,3,"30s,10m,40m",120m,120.0,0.855788096795291,0.8527484888529768,-0.003039607942314171,0.003039607942314171,True
osa_binary_apples_postqc,3,"30s,10m,40m",240m,240.0,0.8613472858077175,0.8609768416879658,-0.00037044411975162284,0.00037044411975162284,True
osa_binary_apples_postqc,2,"30s,10m",40m,40.0,0.8525179856115108,0.8099936221875728,-0.04252436342393806,0.04252436342393806,True
osa_binary_apples_postqc,2,"30s,10m",80m,80.0,0.8878351863963374,0.8129905221627509,-0.07484466423358649,0.07484466423358649,True
osa_binary_apples_postqc,2,"30s,10m",120m,120.0,0.855788096795291,0.8147126013844145,-0.04107549541087652,0.04107549541087652,True
osa_binary_apples_postqc,2,"30s,10m",240m,240.0,0.8613472858077175,0.8176045461665261,-0.04374273964119135,0.04374273964119135,True
